Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags
LIVE,77.79133333333323,6.6189999999999145,AWAY POSSESSION,1,,,,,P-M3,,,,,,
LIVE,105.85733333333326,5.842000000000098,AWAY POSSESSION,2,,,,,P-D3,,,,,,
LIVE,109.33133333333319,4.679000000000087,AWAY POSSESSION,3,,,,,,,,,,,
LIVE,129.8113333333332,16.735000000000127,AWAY POSSESSION,4,,LBFB - WIN,,,P-M3,LBSB - LOSS,,,,,
LIVE,158.80533333333335,13.221000000000004,AWAY POSSESSION,5,,,,,P-D3,,,,,,
LIVE,227.00733333333335,10.652999999999793,AWAY POSSESSION,6,,,,,P-M3,,,,,,
LIVE,259.70933333333335,18.548999999999978,AWAY POSSESSION,7,,,,,P-D3,,,,,,
LIVE,315.70933333333335,21.37406947112305,AWAY POSSESSION,8,,,,,P-D3,,,,,,
LIVE,372.2253333333332,8.120000000000118,AWAY POSSESSION,9,,,,,P-M3,,,,,,
LIVE,408.60733333333326,6.2029999999999745,AWAY POSSESSION,10,,,,,P-D3,,,,,,
LIVE,413.0093333333333,15.019000000000005,AWAY POSSESSION,11,,,,,P-D3,,,,,,
LIVE,434.8083333333333,13.982999999999947,AWAY POSSESSION,12,,,,,P-D3,,,,,,
LIVE,491.3073333333333,19.999000000000024,AWAY POSSESSION,13,,LBFB - LOSS,,,P-D3,LBSB - WIN,,,,,
LIVE,533.8023333333332,7.303000000000111,AWAY POSSESSION,14,,,,,P-D3,,,,,,
LIVE,554.3483333333332,6.163000000000011,AWAY POSSESSION,15,,,,,P-M3,,,,,,
LIVE,617.7073333333332,11.65300000000002,AWAY POSSESSION,16,,LBFB - WIN,,,P-D3,LBSB - WIN,,,,,
LIVE,656.8183333333333,8.886999999999944,AWAY POSSESSION,17,,,,,P-D3,,,,,,
LIVE,701.5103333333333,10.163000000000011,AWAY POSSESSION,18,,,,,P-D3,,,,,,
LIVE,712.4083333333332,6.302000000000135,AWAY POSSESSION,19,,,,,P-D3,,,,,,
LIVE,756.7433333333332,6.044000000000096,AWAY POSSESSION,20,,,,,P-D3,,,,,,
LIVE,764.5443333333332,5.167000000000144,AWAY POSSESSION,21,,,,,P-D3,,,,,,
LIVE,775.2103333333333,6.448999999999842,AWAY POSSESSION,22,,,,,P-D3,,,,,,
LIVE,815.3103333333332,14.999000000000024,AWAY POSSESSION,23,,,,,P-D3,,,,,,
LIVE,849.5093333333333,14.0,AWAY POSSESSION,24,,,,,P-M3,,,,,,
LIVE,897.8033333333332,5.106999999999971,AWAY POSSESSION,25,,,,,P-M3,,,,,,
LIVE,945.2113333333333,8.797000000000025,AWAY POSSESSION,26,,,,,P-M3,,,,,,
LIVE,960.2103333333333,10.298999999999978,AWAY POSSESSION,27,,,,,P-M3,,,,,,
LIVE,1051.081333333333,12.222999999999956,AWAY POSSESSION,28,,,,,P-M3,,,,,,
LIVE,1051.831333333333,2.25,AWAY POSSESSION,29,,,,,"P-M3, P-M3",,,,,,
LIVE,1107.9103333333333,8.297999999999774,AWAY POSSESSION,30,,,,,P-D3,,,,,,
LIVE,1116.7623333333331,8.659999999999854,AWAY POSSESSION,31,,,,,P-D3,,,ATTACKING TRANSITION,,,
LIVE,1131.3103333333333,11.295999999999822,AWAY POSSESSION,32,,LBFB - WIN,,,P-D3,LBSB - WIN,,,,,
LIVE,1164.179333333333,7.162000000000262,AWAY POSSESSION,33,,,,,P-M3,,,,,,
