Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags,Opposition,Date
FF vs AMS,4362.86928,11.56986067,AWAY POSSESSION,92,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4376.359141,7.199999977,AWAY POSSESSION,93,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4403.47914,5.279999989,AWAY POSSESSION,94,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4441.75914,4.319999993,AWAY POSSESSION,95,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,4467.2904,6.119999983,AWAY POSSESSION,96,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4508.9304,0.499600228,AWAY POSSESSION,97,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4526.03992,8.039999973,AWAY POSSESSION,98,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4559.99992,5.159999989,AWAY POSSESSION,99,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4606.58972,14.51999994,AWAY POSSESSION,100,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,4725.08,13.43999994,AWAY POSSESSION,101,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4794.18028,14.87999994,AWAY POSSESSION,102,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4810.38028,9.959999962,AWAY POSSESSION,103,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,4894.54976,11.99999995,AWAY POSSESSION,104,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4907.02976,8.63999997,AWAY POSSESSION,105,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4934.98976,3.479999999,AWAY POSSESSION,106,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,4956.58976,3.599999997,AWAY POSSESSION,107,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,4981.78976,4.79999999,AWAY POSSESSION,108,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,5150.51984,14.07272002,AWAY POSSESSION,109,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5202.43972,12.36156324,AWAY POSSESSION,110,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5234.9396,17.87999992,AWAY POSSESSION,111,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,5258.03116,9.239999967,AWAY POSSESSION,112,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5278.33964,11.15999996,AWAY POSSESSION,113,Cross Unsuccessful,,,,P-M3,,,,"CROSSES, Cross Unsuccessful",,,American Samoa,05/03/2026
FF vs AMS,5323.09964,4.799999991,AWAY POSSESSION,114,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,5328.25964,10.43999996,AWAY POSSESSION,115,,,,,"P-M3, P-D3",,,,,,,American Samoa,05/03/2026
FF vs AMS,5341.33964,7.679999976,AWAY POSSESSION,116,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,5391.450083,8.879999967,AWAY POSSESSION,117,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,5418.570083,12.35999995,AWAY POSSESSION,118,,,,,"P-D3, P-M3",,,,,,,American Samoa,05/03/2026
FF vs AMS,5475.08112,7.439999977,AWAY POSSESSION,119,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5482.28112,6.599999982,AWAY POSSESSION,120,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5495.14104,6.71999998,AWAY POSSESSION,121,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5517.94548,17.75999992,AWAY POSSESSION,122,Cross Unsuccessful,,,,P-M3,,,,"SEAM 2 ENTRY, CROSSES, Cross Unsuccessful",,,American Samoa,05/03/2026
FF vs AMS,5540.98548,9.719999965,AWAY POSSESSION,123,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,5563.90548,5.279960242,AWAY POSSESSION,124,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5629.68,4.679999991,AWAY POSSESSION,125,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5640.74996,19.13004003,AWAY POSSESSION,126,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5704.50996,16.55999993,AWAY POSSESSION,127,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5724.26988,10.31999996,AWAY POSSESSION,128,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,5750.66988,5.399999986,AWAY POSSESSION,129,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5767.46988,15.45012021,AWAY POSSESSION,130,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,5782.32,4.319999993,AWAY POSSESSION,131,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,5802.6,7.079999979,AWAY POSSESSION,132,,,,,P-D3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,5815.32,14.37000021,AWAY POSSESSION,133,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5852.39968,12.95999995,AWAY POSSESSION,134,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5881.32964,12.11999995,AWAY POSSESSION,135,,,,,,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,5914.56964,3.719999996,AWAY POSSESSION,136,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,5934.32,6.239999982,AWAY POSSESSION,137,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,5998.77,9.109959982,AWAY POSSESSION,138,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6016.55992,9.239999967,AWAY POSSESSION,139,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6072.8696,4.660400085,AWAY POSSESSION,140,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6076.57,5.639999986,AWAY POSSESSION,141,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6093.2,12.16000002,AWAY POSSESSION,142,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6105.36,13.31999994,AWAY POSSESSION,143,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,6148.45104,14.87999994,AWAY POSSESSION,144,,,,,"P-D3, P-M3",,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,6208.8,12.36,AWAY POSSESSION,145,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,149.75,66.12,HOME POSSESSION,1,Cross Successful,,,PEN AREA ENTRY,P-M3,,"SHOT IN BOX, SHOT",,"SEAM 2 ENTRY, PENALTY AREA ENTRY, Cross Successful, CROSSES",,,American Samoa,05/03/2026
FF vs AMS,251.87,21.95999999,HOME POSSESSION,2,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,292.07,19.44,HOME POSSESSION,3,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,316.67,18.24,HOME POSSESSION,4,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,357.95,33.48,HOME POSSESSION,5,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,396.47,20.04,HOME POSSESSION,6,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,418.91,45.6,HOME POSSESSION,7,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,464.03,34.2,HOME POSSESSION,8,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,501.23,20.28,HOME POSSESSION,9,Cross Unsuccessful,,,PEN AREA ENTRY,P-M3,,,,"SEAM 2 ENTRY, SEAM THREE ENTRY, PENALTY AREA ENTRY, CROSSES, Cross Unsuccessful",,,American Samoa,05/03/2026
FF vs AMS,560.2699999,10.8,HOME POSSESSION,10,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,575.2699999,37.79999998,HOME POSSESSION,11,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,613.3099999,14.87999999,HOME POSSESSION,12,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,628.5499999,25.19999999,HOME POSSESSION,13,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,653.8699999,12.6900001,HOME POSSESSION,14,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,666.68,11.76,HOME POSSESSION,15,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,682.64,22.67999999,HOME POSSESSION,16,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,716.12,6.239999997,HOME POSSESSION,17,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,720.92,15.71999999,HOME POSSESSION,18,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,736.04,16.67999999,HOME POSSESSION,19,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,771.9199999,39.12,HOME POSSESSION,20,Cross Successful,,,,P-M3,,"SHOT IN BOX, SHOT",,"SEAM THREE ENTRY, Cross Successful, CROSSES",,,American Samoa,05/03/2026
FF vs AMS,847.9999999,19.56,HOME POSSESSION,21,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,874.0399999,22.8,HOME POSSESSION,22,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,932.1199999,18.12,HOME POSSESSION,23,,,,,"P-D3, P-M3",,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,959.1199999,34.92,HOME POSSESSION,24,,,,,"P-D3, P-M3",,,,SEAM THREE ENTRY,,,American Samoa,05/03/2026
FF vs AMS,1039.96996,5.399999983,HOME POSSESSION,25,,,,,P-M3,,"ON TARGET, SHOT",,,,,American Samoa,05/03/2026
